Category,Company,NSE_Code,Yahoo_Ticker,Price_Now,Price_2025,Price_2024,Price_2023,Price_2022
Core specialty-steel universe,JSW Steel,JSWSTEEL,JSWSTEEL.NS,1246.0,1158.15,893.94,866.09,752.52
Core specialty-steel universe,Tata Steel,TATASTEEL,TATASTEEL.NS,190.05,176.44,132.18,131.02,102.39
Core specialty-steel universe,Jindal Stainless,JSL,JSL.NS,693.3,838.21,695.44,567.48,235.16
Core specialty-steel universe,Vardhman Special Steels,VSSL,VSSL.NS,271.2,284.35,223.63,214.7,149.28
Core specialty-steel universe,SAIL,SAIL,SAIL.NS,165.38,146.99,111.73,120.23,79.02
Core specialty-steel universe,Jindal Steel,JINDALSTEL,JINDALSTEL.NS,1040.8,1053.8,928.86,745.06,576.45
Core specialty-steel universe,Kalyani Steels,KSL,KSL.NS,868.45,771.0,1153.09,473.08,345.04
Core specialty-steel universe,Sunflag Iron & Steel,SUNFLAG,SUNFLAG.NS,337.9,271.65,250.67,208.76,111.93
Core specialty-steel universe,Mukand,MUKANDLTD,MUKANDLTD.NS,132.55,135.95,126.71,192.71,131.31
Adjacent / downstream basket,Ratnamani Metals & Tubes,RATNAMANI,RATNAMANI.NS,2610.1,2380.5,3159.71,3330.26,1927.76
Adjacent / downstream basket,Maharashtra Seamless,MAHSEAMLES,MAHSEAMLES.NS,600.35,561.35,690.72,896.42,310.84
Adjacent / downstream basket,Jindal SAW,JINDALSAW,JINDALSAW.NS,260.0,166.41,286.08,200.81,49.83
Adjacent / downstream basket,Welspun Corp,WELCORP,WELCORP.NS,1529.8,811.7,806.75,538.49,228.41
Adjacent / downstream basket,Venus Pipes & Tubes,VENUSPIPES,VENUSPIPES.NS,1854.0,1160.4,1504.61,1398.76,713.4
Adjacent / downstream basket,Manaksia Coated Metals,MANAKCOAT,MANAKCOAT.NS,119.33,131.7,117.93,28.17,17.95
Adjacent / downstream basket,APL Apollo Tubes,APLAPOLLO,APLAPOLLO.NS,1824.1,1914.0,1562.8,1525.59,1080.8
